Date,Open,High,Low,Close,Adj Close,Volume
2018-03-12,92.660004,95.080002,88.889999,90.760002,83.884201,2885800
2018-03-19,90.550003,90.550003,82.589996,82.589996,76.754112,3135100
2018-03-26,84.250000,86.410004,82.709999,85.739998,79.681557,2325800
2018-04-02,85.000000,87.230003,82.400002,83.029999,77.163025,2163100
2018-04-09,83.680000,88.220001,83.199997,86.620003,80.499367,2052000
2018-04-16,87.290001,90.639999,86.320000,89.660004,83.324570,2316500
2018-04-23,89.320000,93.730003,86.650002,89.080002,82.785538,3342400
2018-04-30,89.650002,90.599998,85.070000,89.870003,83.519722,3289600
2018-05-07,90.400002,92.970001,90.160004,91.900002,85.406265,2105100
2018-05-14,92.059998,96.180000,90.610001,96.150002,89.355972,2956300
2018-05-21,96.449997,96.449997,92.529999,92.900002,86.335602,2102900
2018-05-28,91.919998,97.410004,91.870003,94.250000,88.058617,2197700
2018-06-04,94.250000,96.699997,94.169998,95.599998,89.319931,2022000
2018-06-11,95.790001,96.360001,93.349998,94.000000,87.825043,2149500
2018-06-18,93.040001,94.820000,90.620003,93.370003,87.236427,2263700
2018-06-25,92.860001,92.860001,86.430000,87.540001,81.789398,2504600
2018-07-02,86.589996,88.930000,86.440002,88.320000,82.518166,1748600
2018-07-09,89.220001,92.589996,88.419998,89.989998,84.078461,1864000
2018-07-16,90.160004,92.610001,89.620003,91.040001,85.059494,1899100
2018-07-23,91.279999,94.150002,89.599998,90.720001,84.760506,3146300
2018-07-30,91.190002,91.919998,88.410004,89.540001,83.658020,2985900
2018-08-06,89.160004,92.639999,87.080002,88.540001,82.723717,2587400
2018-08-13,88.790001,88.989998,84.610001,88.580002,82.761086,2614800
2018-08-20,89.080002,91.910004,86.839996,87.889999,82.597000,2222700
2018-08-27,88.150002,89.900002,87.010002,87.889999,82.597000,2119400
2018-09-03,87.000000,89.099998,84.080002,85.269997,80.134811,2370900
2018-09-10,85.400002,87.070000,83.120003,85.470001,80.322769,2469800
2018-09-17,85.459999,89.010002,85.129997,86.290001,81.093369,2434000
2018-09-24,86.110001,87.250000,84.669998,85.290001,80.153603,2015700
2018-10-01,85.879997,86.610001,83.290001,83.720001,78.678146,2431800
